alpha2Code,gmtOffset
AF,+04:30
AL,+01:00
DZ,+01:00
AS,-11:00
AD,+01:00
AO,+01:00
AI,-04:00
AQ,+08:00
AQ,+07:00
AQ,+10:00
AQ,+05:00
AQ,+13:00
AQ,-03:00
AQ,-03:00
AQ,+03:00
AQ,+00:00
AQ,+05:00
AG,-04:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AR,-03:00
AM,+04:00
AW,-04:00
AU,+11:00
AU,+10:30
AU,+10:00
AU,+10:30
AU,+09:30
AU,+08:45
AU,+11:00
AU,+10:00
AU,+11:00
AU,+11:00
AU,+08:00
AU,+11:00
AT,+01:00
AZ,+04:00
BS,-05:00
BH,+03:00
BD,+06:00
BB,-04:00
BY,+03:00
BE,+01:00
BZ,-06:00
BJ,+01:00
BM,-04:00
BT,+06:00
BO,-04:00
BQ,-04:00
BA,+01:00
BW,+02:00
BR,-03:00
BR,-03:00
BR,-03:00
BR,-04:00
BR,-04:00
BR,-04:00
BR,-05:00
BR,-03:00
BR,-03:00
BR,-04:00
BR,-02:00
BR,-04:00
BR,-03:00
BR,-05:00
BR,-03:00
BR,-03:00
IO,+06:00
BN,+08:00
BG,+02:00
BF,+00:00
BI,+02:00
KH,+07:00
CM,+01:00
CA,-05:00
CA,-04:00
CA,-07:00
CA,-07:00
CA,-07:00
CA,-07:00
CA,-07:00
CA,-07:00
CA,-04:00
CA,-04:00
CA,-04:00
CA,-07:00
CA,-05:00
CA,-04:00
CA,-06:00
CA,-06:00
CA,-06:00
CA,-03:30
CA,-06:00
CA,-05:00
CA,-08:00
CA,-07:00
CA,-06:00
CV,-01:00
KY,-05:00
CF,+01:00
TD,+01:00
CL,-03:00
CL,-03:00
CL,-05:00
CN,+08:00
CN,+06:00
CX,+07:00
CC,+06:30
CO,-05:00
KM,+03:00
CG,+01:00
CD,+01:00
CD,+02:00
CK,-10:00
CR,-06:00
HR,+01:00
CU,-05:00
CW,-04:00
CY,+02:00
CY,+02:00
CZ,+01:00
CI,+00:00
DK,+01:00
DJ,+03:00
DM,-04:00
DO,-04:00
EC,-05:00
EC,-06:00
EG,+02:00
SV,-06:00
GQ,+01:00
ER,+03:00
EE,+02:00
ET,+03:00
FK,-03:00
FO,+00:00
FJ,+12:00
FI,+02:00
FR,+01:00
GF,-03:00
PF,-09:00
PF,-09:30
PF,-10:00
TF,+05:00
GA,+01:00
GM,+00:00
GE,+04:00
DE,+01:00
DE,+01:00
GH,+00:00
GI,+01:00
GR,+02:00
GL,+00:00
GL,-02:00
GL,-02:00
GL,-04:00
GD,-04:00
GP,-04:00
GU,+10:00
GT,-06:00
GG,+00:00
GN,+00:00
GW,+00:00
GY,-04:00
HT,-05:00
VA,+01:00
HN,-06:00
HK,+08:00
HU,+01:00
IS,+00:00
IN,+05:30
ID,+07:00
ID,+09:00
ID,+08:00
ID,+07:00
IR,+03:30
IQ,+03:00
IE,+00:00
IM,+00:00
IL,+02:00
IT,+01:00
JM,-05:00
JP,+09:00
JE,+00:00
JO,+03:00
KZ,+05:00
KZ,+05:00
KZ,+05:00
KZ,+05:00
KZ,+05:00
KZ,+05:00
KZ,+05:00
KE,+03:00
KI,+13:00
KI,+14:00
KI,+12:00
KP,+09:00
KR,+09:00
KW,+03:00
KG,+06:00
LA,+07:00
LV,+02:00
LB,+02:00
LS,+02:00
LR,+00:00
LY,+02:00
LI,+01:00
LT,+02:00
LU,+01:00
MO,+08:00
MK,+01:00
MG,+03:00
MW,+02:00
MY,+08:00
MY,+08:00
MV,+05:00
ML,+00:00
MT,+01:00
MH,+12:00
MH,+12:00
MQ,-04:00
MR,+00:00
MU,+04:00
YT,+03:00
MX,-06:00
MX,-05:00
MX,-06:00
MX,-07:00
MX,-07:00
MX,-06:00
MX,-07:00
MX,-06:00
MX,-06:00
MX,-06:00
MX,-06:00
MX,-08:00
FM,+10:00
FM,+11:00
FM,+11:00
MD,+02:00
MC,+01:00
MN,+07:00
MN,+08:00
ME,+01:00
MS,-04:00
MA,+01:00
MA,+01:00
MZ,+02:00
MM,+06:30
NA,+02:00
NR,+12:00
NP,+05:45
NL,+01:00
NC,+11:00
NZ,+13:00
NZ,+13:45
NI,-06:00
NE,+01:00
NG,+01:00
NU,-11:00
NF,+12:00
MP,+10:00
NO,+01:00
OM,+04:00
PK,+05:00
PW,+09:00
PS,+02:00
PS,+02:00
PA,-05:00
PG,+11:00
PG,+10:00
PY,-03:00
PE,-05:00
PH,+08:00
PN,-08:00
PL,+01:00
PT,-01:00
PT,+00:00
PT,+00:00
PR,-04:00
QA,+03:00
RO,+02:00
RU,+12:00
RU,+07:00
RU,+09:00
RU,+08:00
RU,+12:00
RU,+09:00
RU,+07:00
RU,+11:00
RU,+07:00
RU,+07:00
RU,+06:00
RU,+11:00
RU,+11:00
RU,+07:00
RU,+10:00
RU,+10:00
RU,+09:00
RU,+05:00
RU,+04:00
RU,+02:00
RU,+03:00
RU,+03:00
RU,+04:00
RU,+04:00
RU,+04:00
RU,+03:00
RW,+02:00
RE,+04:00
BL,-04:00
SH,+00:00
KN,-04:00
LC,-04:00
MF,-04:00
PM,-03:00
VC,-04:00
WS,+13:00
SM,+01:00
ST,+00:00
SA,+03:00
SN,+00:00
RS,+01:00
SC,+04:00
SL,+00:00
SG,+08:00
SX,-04:00
SK,+01:00
SI,+01:00
SB,+11:00
SO,+03:00
ZA,+02:00
GS,-02:00
SS,+02:00
ES,+01:00
ES,+00:00
ES,+01:00
LK,+05:30
SD,+02:00
SR,-03:00
SJ,+01:00
SZ,+02:00
SE,+01:00
CH,+01:00
SY,+03:00
TW,+08:00
TJ,+05:00
TZ,+03:00
TH,+07:00
TL,+09:00
TG,+00:00
TK,+13:00
TO,+13:00
TT,-04:00
TN,+01:00
TR,+03:00
TM,+05:00
TC,-05:00
TV,+12:00
UG,+03:00
UA,+02:00
UA,+03:00
AE,+04:00
GB,+00:00
US,-10:00
US,-09:00
US,-07:00
US,-06:00
US,-07:00
US,-05:00
US,-05:00
US,-06:00
US,-05:00
US,-05:00
US,-06:00
US,-05:00
US,-05:00
US,-05:00
US,-09:00
US,-05:00
US,-05:00
US,-08:00
US,-06:00
US,-09:00
US,-05:00
US,-09:00
US,-06:00
US,-06:00
US,-06:00
US,-07:00
US,-09:00
US,-09:00
US,-10:00
UM,-11:00
UM,+12:00
UY,-03:00
UZ,+05:00
UZ,+05:00
VU,+11:00
VE,-04:00
VN,+07:00
VG,-04:00
VI,-04:00
WF,+12:00
YE,+03:00
ZM,+02:00
ZW,+02:00
AX,+02:00
