companyName,companySize,totalRevenue,industry,businessType,country,website
BinaryForge Corporation,large,855274435,Software Development,B2C,GB,https://binaryforge.com
CodeCrafters,medium,13443863,Software Development,B2B,DK,https://codecrafters.com
NextGenSoftworks,medium,39781934,Software Development,B2B,DE,https://nextgensoftworks.com
PixelLogic,medium,5367836,Software Development,B2C,SG,https://pixellogic.com
DevNexus,micro,447161,Software Development,B2C,NL,https://devnexus.com
Syntax Innovations,medium,29919464,Software Development,B2B,CA,https://syntaxinnovations.com
AgileMind Studios,large,214578133,Software Development,B2C,US,https://agilemindstudios.com
QuantumCode Labs,small,4618696,Software Development,B2C,NL,https://quantumcodelabs.com
Skyline Software Solutions,medium,34590944,Software Development,B2C,SG,https://skylinesoftwaresolutions.com
EchoByte Technologies,small,3213529,Software Development,B2B,CZ,https://echobytetechnologies.com
SiliconForge,micro,224133,Hardware & Semiconductor,B2B,EE,https://siliconforge.ee
QuantumCircuits,small,2712771,Hardware & Semiconductor,B2B,DK,https://quantumcircuits.com
NextGen Chips,small,2216830,Hardware & Semiconductor,B2C,KR,https://nextgenchips.com
Precision Silicon,micro,143289,Hardware & Semiconductor,B2C,US,https://precisionsilicon.com
NanoCore Technologies,small,1242685,Hardware & Semiconductor,B2B,CA,https://nanocoretechnologies.com
Vortex Semiconductors,small,4162863,Hardware & Semiconductor,B2B,JP,https://vortexsemiconductors.com
TitanChip Solutions,small,3634172,Hardware & Semiconductor,B2B,AT,https://titanchipsolutions.com
HyperLogic Systems,medium,31131521,Hardware & Semiconductor,B2B,KR,https://hyperlogicsystems.com
Vertex Microelectronics,micro,490663,Hardware & Semiconductor,B2B,NZ,https://vertexmicroelectronics.com
Infinity Circuits,large,232209837,Hardware & Semiconductor,B2B,CN,https://infinitycircuits.com
TechSavvy Solutions,large,313663286,IT Services & Consulting,B2B,SG,https://techsavvysolutions.com
DigitalBridge Consulting,large,145215914,IT Services & Consulting,B2C,SE,https://digitalbridgeconsulting.se
Nexus IT Services,small,858633,IT Services & Consulting,B2B,NL,https://nexusitservices.com
CloudStride Consulting,medium,26879113,IT Services & Consulting,B2C,KR,https://cloudstrideconsulting.com
ByteLogic Advisors,large,130207034,IT Services & Consulting,B2B,FR,https://bytelogicadvisors.com
FuturePath IT,medium,40393597,IT Services & Consulting,B2C,IL,https://futurepathit.com
InfiniTech Solutions,large,194303952,IT Services & Consulting,B2C,NL,https://infinitechsolutions.nl
Apex IT Consulting,micro,36972,IT Services & Consulting,B2C,IL,https://apexitconsulting.com
Synergy Systems,small,3507322,IT Services & Consulting,B2B,DK,https://synergysystems.com
Quantum IT Group,large,84915450,IT Services & Consulting,B2B,IL,https://quantumitgroup.com
ShieldGuard Security,micro,457555,Cybersecurity,B2B,IS,https://shieldguardsecurity.com
CyberSentinel Solutions,large,250679110,Cybersecurity,B2B,AT,https://cybersentinelsolutions.com
Fortress Cyber Defense,medium,19756355,Cybersecurity,B2B,SE,https://fortresscyberdefense.com
IronWall Security,large,66531098,Cybersecurity,B2B,SE,https://ironwallsecurity.com
DarkNet Defenders,micro,269380,Cybersecurity,B2C,IL,https://darknetdefenders.com
Phantom Shield,small,920356,Cybersecurity,B2B,KR,https://phantomshield.com
NextGen Cyber Armor,micro,302380,Cybersecurity,B2C,FI,https://nextgencyberarmor.com
ByteSafe Technologies,micro,220637,Cybersecurity,B2B,HK,https://bytesafetechnologies.com
SentinelX Security,small,2219074,Cybersecurity,B2B,CH,https://sentinelxsecurity.com
Quantum Shield Systems,medium,29229311,Cybersecurity,B2C,SE,https://quantumshieldsystems.com
ConnectWave Networks,large,69043889,Telecommunications,B2C,NZ,https://connectwavenetworks.com
InfinityTel Solutions,large,67998527,Telecommunications,B2B,GB,https://infinitytelsolutions.com
SkyBridge Communications,small,3181068,Telecommunications,B2C,AT,https://skybridgecommunications.com
QuantumTel Systems,large,121756595,Telecommunications,B2C,PT,https://quantumtelsystems.com
GlobalLink Telecom,small,829416,Telecommunications,B2C,AU,https://globallinktelecom.au
Vertex Connect,small,1345317,Telecommunications,B2C,IS,https://vertexconnect.com
BlueSignal Networks,medium,45909564,Telecommunications,B2C,CH,https://bluesignalnetworks.com
NexusCom Solutions,large,431819400,Telecommunications,B2B,SE,https://nexuscomsolutions.se
HyperNet Communications,micro,47110,Telecommunications,B2B,GB,https://hypernetcommunications.com
OmniWave Telecom,small,1878904,Telecommunications,B2B,IL,https://omniwavetelecom.com
Nimbus Cloud Solutions,micro,145727,Cloud Computing,B2B,NL,https://nimbuscloudsolutions.com
SkyScale Computing,medium,23825054,Cloud Computing,B2C,CH,https://skyscalecomputing.com
QuantumCloud Systems,small,3395323,Cloud Computing,B2B,KR,https://quantumcloudsystems.com
CloudMatrix Technologies,small,1043091,Cloud Computing,B2B,SG,https://cloudmatrixtechnologies.com
StratusNet Services,small,1529947,Cloud Computing,B2C,NO,https://stratusnetservices.com
Vertex Cloud Solutions,medium,12101881,Cloud Computing,B2C,IS,https://vertexcloudsolutions.com
HyperCloud Dynamics,medium,34161026,Cloud Computing,B2C,CN,https://hyperclouddynamics.com
OmniCloud Innovations,small,596144,Cloud Computing,B2C,US,https://omnicloudinnovations.us
Elevate Cloud Services,micro,240736,Cloud Computing,B2C,KR,https://elevatecloudservices.com
BlueHorizon Cloud,small,2366449,Cloud Computing,B2B,HK,https://bluehorizoncloud.hk
InsightSphere Analytics,medium,18968838,Data & Analytics,B2B,SE,https://insightsphereanalytics.com
DataVista Solutions,small,4417515,Data & Analytics,B2B,GB,https://datavistasolutions.com
Quantum Data Insights,medium,20219108,Data & Analytics,B2C,SE,https://quantumdatainsights.com
Nexus Analytics,micro,393408,Data & Analytics,B2C,IL,https://nexusanalytics.com
BrightMetrics,small,690654,Data & Analytics,B2C,SE,https://brightmetrics.com
DataPulse Technologies,large,178084609,Data & Analytics,B2B,SE,https://datapulsetechnologies.com
InfoGenius Analytics,small,3791940,Data & Analytics,B2B,US,https://infogeniusanalytics.com
OmniData Systems,medium,45570159,Data & Analytics,B2C,NZ,https://omnidatasystems.com
NextGen Insights,medium,22598843,Data & Analytics,B2B,KR,https://nextgeninsights.com
Precision Analytics Group,medium,47271724,Data & Analytics,B2C,JP,https://precisionanalyticsgroup.com
NeuralEdge AI,large,342777598,Artificial Intelligence & Machine Learning,B2B,SG,https://neuraledgeai.com
Synapse AI Systems,large,194959841,Artificial Intelligence & Machine Learning,B2B,PT,https://synapseaisystems.com
CognitiveWave Solutions,medium,21222577,Artificial Intelligence & Machine Learning,B2B,SG,https://cognitivewavesolutions.com
QuantumMind AI,micro,360645,Artificial Intelligence & Machine Learning,B2B,SG,https://quantummindai.com
DeepLogic Innovations,small,2373580,Artificial Intelligence & Machine Learning,B2C,FR,https://deeplogicinnovations.com
Apex Machine Learning,small,2942498,Artificial Intelligence & Machine Learning,B2C,US,https://apexmachinelearning.com
OmniBrain Technologies,small,2533474,Artificial Intelligence & Machine Learning,B2B,HK,https://omnibraintechnologies.com
SentientAI Labs,large,450212715,Artificial Intelligence & Machine Learning,B2C,KR,https://sentientailabs.com
Nexus Neural Networks,medium,13554013,Artificial Intelligence & Machine Learning,B2C,IT,https://nexusneuralnetworks.com
Infinity AI Solutions,micro,314921,Artificial Intelligence & Machine Learning,B2B,CN,https://infinityaisolutions.com
CryptoForge Solutions,micro,440830,Blockchain & Cryptocurrency,B2B,SE,https://cryptoforgesolutions.com
NexusChain Technologies,large,454105772,Blockchain & Cryptocurrency,B2C,US,https://nexuschaintechnologies.com
Quantum Ledger Systems,small,4292248,Blockchain & Cryptocurrency,B2C,IE,https://quantumledgersystems.com
BlockHorizon,small,3437957,Blockchain & Cryptocurrency,B2B,IL,https://blockhorizon.com
OmniChain Innovations,large,312155031,Blockchain & Cryptocurrency,B2B,HK,https://omnichaininnovations.com
Vertex Blockchain,small,2183581,Blockchain & Cryptocurrency,B2B,AT,https://vertexblockchain.com
SecureLedger Tech,micro,446482,Blockchain & Cryptocurrency,B2C,KR,https://secureledgertech.kr
Infinity Crypto Solutions,small,4046484,Blockchain & Cryptocurrency,B2B,CH,https://infinitycryptosolutions.com
HyperChain Systems,medium,11965277,Blockchain & Cryptocurrency,B2B,CH,https://hyperchainsystems.com
Sentinel Blockchain Security,small,4507728,Blockchain & Cryptocurrency,B2C,SG,https://sentinelblockchainsecurity.com
IoT Nexus,micro,268680,Internet of Things,B2C,SE,https://iotnexus.com
SmartMesh Solutions,large,116619840,Internet of Things,B2C,IL,https://smartmeshsolutions.com
Connected Wave,large,112406801,Internet of Things,B2C,FR,https://connectedwave.com
IoT Synergy,medium,48803909,Internet of Things,B2B,NL,https://iotsynergy.com
Quantum Link,medium,42339123,Internet of Things,B2C,FR,https://quantumlink.com
SensorSphere,micro,370663,Internet of Things,B2C,KR,https://sensorsphere.com
NextGen IoT,large,168299443,Internet of Things,B2B,HK,https://nextgeniot.com
OmniLink Networks,large,125317209,Internet of Things,B2B,NZ,https://omnilinknetworks.com
EdgeSync,medium,29476066,Internet of Things,B2C,CA,https://edgesync.com
NeuraConnect,medium,21859915,Internet of Things,B2B,CA,https://neuraconnect.com
AdVantage Digital,medium,13185314,Digital Marketing & Advertising,B2B,FR,https://advantagedigital.com
MarTech Wizards,medium,44358810,Digital Marketing & Advertising,B2C,DE,https://martechwizards.com
ClickCraft,medium,32661136,Digital Marketing & Advertising,B2C,KR,https://clickcraft.com
AdElevate,micro,409108,Digital Marketing & Advertising,B2B,US,https://adelevate.com
BrandBoost Media,micro,388922,Digital Marketing & Advertising,B2B,US,https://brandboostmedia.com
ViralEdge,large,122827579,Digital Marketing & Advertising,B2B,DE,https://viraledge.de
OmniReach Ads,large,299206958,Digital Marketing & Advertising,B2B,SG,https://omnireachads.com
Engage360,medium,40392224,Digital Marketing & Advertising,B2B,US,https://engage360.com
Visionary Clicks,micro,123310,Digital Marketing & Advertising,B2B,EE,https://visionaryclicks.com
Momentum Marketing,micro,224707,Digital Marketing & Advertising,B2C,JP,https://momentummarketing.jp
ShopSphere,micro,320815,E-commerce & Online Marketplaces,B2B,DK,https://shopsphere.com
TradeHorizon,micro,26739,E-commerce & Online Marketplaces,B2C,AT,https://tradehorizon.com
E-Market Innovators,micro,144269,E-commerce & Online Marketplaces,B2C,CH,https://e-marketinnovators.com
BuySmart,micro,471301,E-commerce & Online Marketplaces,B2C,US,https://buysmart.us
OmniCart Solutions,medium,49548878,E-commerce & Online Marketplaces,B2C,FI,https://omnicartsolutions.com
QuickCommerce,small,2775328,E-commerce & Online Marketplaces,B2B,SG,https://quickcommerce.com
Global Bazaar,small,2432618,E-commerce & Online Marketplaces,B2B,NL,https://globalbazaar.com
TrendHaven,medium,13265155,E-commerce & Online Marketplaces,B2C,US,https://trendhaven.com
WebCart Express,micro,35809,E-commerce & Online Marketplaces,B2C,US,https://webcartexpress.com
NextGen Marketplace,micro,387442,E-commerce & Online Marketplaces,B2C,NL,https://nextgenmarketplace.com
NextPlay Edge,micro,298299,Gaming & Interactive Entertainment,B2B,IL,https://nextplayedge.com
Epic Labs,micro,231083,Gaming & Interactive Entertainment,B2B,NL,https://epiclabs.com
Glitch Edge,small,2126780,Gaming & Interactive Entertainment,B2B,DE,https://glitchedge.com
Neon Hub,large,60363174,Gaming & Interactive Entertainment,B2B,DK,https://neonhub.com
Glitch Networks,small,1374689,Gaming & Interactive Entertainment,B2C,CH,https://glitchnetworks.ch
Quantum Edge,small,2729351,Gaming & Interactive Entertainment,B2B,NL,https://quantumedge.com
PlayVerse Tech,micro,307690,Gaming & Interactive Entertainment,B2B,CH,https://playversetech.com
GameX Ventures,micro,319874,Gaming & Interactive Entertainment,B2B,HK,https://gamexventures.hk
ZPT Games,large,393424316,Gaming & Interactive Entertainment,B2B,KR,https://zptgames.com
Quantum Systems,micro,229491,Gaming & Interactive Entertainment,B2B,FI,https://quantumsystems.com
FinNova Ventures,micro,17647,Fintech,B2C,SE,https://finnovaventures.com
PaySync Edge,small,4361419,Fintech,B2B,NZ,https://paysyncedge.com
QuantumBank Edge,large,334499388,Fintech,B2B,KR,https://quantumbankedge.com
BlockWealth Systems,small,576038,Fintech,B2B,CA,https://blockwealthsystems.com
SwiftFund Tech,large,121848435,Fintech,B2B,IL,https://swiftfundtech.com
PaySync Networks,micro,201999,Fintech,B2B,LU,https://paysyncnetworks.com
BlockWealth Networks,micro,97624,Fintech,B2B,KR,https://blockwealthnetworks.kr
QuantumBank Solutions,large,150058409,Fintech,B2B,EE,https://quantumbanksolutions.com
CrediFlow Solutions,small,2696319,Fintech,B2B,CA,https://crediflowsolutions.com
WealthTech Ventures,medium,41779627,Fintech,B2B,SE,https://wealthtechventures.se
SmartScholars Innovations,small,3054965,EdTech,B2C,CH,https://smartscholarsinnovations.com
EduVerse Hub,medium,32093482,EdTech,B2B,DK,https://eduversehub.com
Brainz,large,393668114,EdTech,B2B,IE,https://brainz.com
SmartScholars Networks,medium,23749744,EdTech,B2B,LU,https://smartscholarsnetworks.com
NeoLearn Edge,medium,5586055,EdTech,B2B,AT,https://neolearnedge.com
NextGenEdu Edge,large,156568142,EdTech,B2B,FR,https://nextgeneduedge.com
SmartScholars Systems,small,4582073,EdTech,B2B,SE,https://smartscholarssystems.com
SmartScholars Solutions,medium,35968587,EdTech,B2C,SE,https://smartscholarssolutions.com
LearnSync Hub,medium,26159277,EdTech,B2C,IL,https://learnsynchub.com
Academix Solutions,small,1435593,EdTech,B2B,DK,https://academixsolutions.com
VitalEdge Ventures,medium,21881597,HealthTech,B2C,IL,https://vitaledgeventures.com
WellnessAI Ventures,small,3538619,HealthTech,B2B,SE,https://wellnessaiventures.com
SmartCare Systems,micro,208212,HealthTech,B2B,IL,https://smartcaresystems.com
BioNext Tech,medium,18895103,HealthTech,B2C,CA,https://bionexttech.com
WellnessAI Solutions,small,4816537,HealthTech,B2B,SG,https://wellnessaisolutions.com
NeoHealth Hub,large,452137575,HealthTech,B2B,US,https://neohealthhub.us
MedSphere Networks,medium,42056527,HealthTech,B2B,CH,https://medspherenetworks.com
BioNext Solutions,medium,43858016,HealthTech,B2C,SG,https://bionextsolutions.com
HealthNova Ventures,large,227031051,HealthTech,B2C,FR,https://healthnovaventures.com
SmartCare Networks,small,3910188,HealthTech,B2B,IS,https://smartcarenetworks.com
ContentEdge Networks,micro,100884,Media & Content Streaming,B2B,GB,https://contentedgenetworks.com
ContentEdge Solutions,medium,42711342,Media & Content Streaming,B2C,CN,https://contentedgesolutions.cn
StreamX Edge,large,167027099,Media & Content Streaming,B2B,NO,https://streamxedge.com
MediaFlow Hub,micro,283048,Media & Content Streaming,B2C,US,https://mediaflowhub.com
CineVerse Hub,medium,22720988,Media & Content Streaming,B2B,CA,https://cineversehub.ca
EpicStream Tech,large,368717745,Media & Content Streaming,B2B,KR,https://epicstreamtech.com
CineVerse Tech,medium,37083185,Media & Content Streaming,B2C,LU,https://cineversetech.lu
StreamX Networks,micro,445489,Media & Content Streaming,B2C,DE,https://streamxnetworks.com
NextCast Edge,large,295453227,Media & Content Streaming,B2B,DE,https://nextcastedge.com
NovaMedia Dynamics,small,4762851,Media & Content Streaming,B2C,US,https://novamediadynamics.com
NeonXR Networks,micro,305759,Augmented Reality & Virtual Reality,B2B,IS,https://neonxrnetworks.com
Augmenta Tech,micro,359803,Augmented Reality & Virtual Reality,B2B,FR,https://augmentatech.com
NextReality Innovations,medium,39422059,Augmented Reality & Virtual Reality,B2B,US,https://nextrealityinnovations.com
HoloSync Ventures,medium,31176618,Augmented Reality & Virtual Reality,B2B,CZ,https://holosyncventures.com
CyberVerse Networks,small,2886322,Augmented Reality & Virtual Reality,B2C,NL,https://cyberversenetworks.com
ARFusion Ventures,large,81811868,Augmented Reality & Virtual Reality,B2C,GB,https://arfusionventures.com
DreamXR Hub,small,635740,Augmented Reality & Virtual Reality,B2C,SG,https://dreamxrhub.sg
NeonXR Innovations,small,822507,Augmented Reality & Virtual Reality,B2B,DE,https://neonxrinnovations.com
CypherVille,micro,418132,Augmented Reality & Virtual Reality,B2C,SG,https://cypherville.com
CyberVerse Edge,large,458029345,Augmented Reality & Virtual Reality,B2C,DK,https://cyberverseedge.dk
CitySphere Labs,small,4016158,Smart Infrastructure & Smart Cities,B2C,NL,https://cityspherelabs.com
NextGenSmart Hub,micro,219643,Smart Infrastructure & Smart Cities,B2C,SE,https://nextgensmarthub.com
SmartGrid Solutions,medium,12025595,Smart Infrastructure & Smart Cities,B2B,NO,https://smartgridsolutions.com
MetroTech Ventures,micro,478248,Smart Infrastructure & Smart Cities,B2B,FR,https://metrotechventures.com
UrbanEdge Solutions,large,113843873,Smart Infrastructure & Smart Cities,B2B,KR,https://urbanedgesolutions.com
NextGenSmart Edge,small,812767,Smart Infrastructure & Smart Cities,B2C,SE,https://nextgensmartedge.com
MetroTech Systems,large,167132315,Smart Infrastructure & Smart Cities,B2B,SE,https://metrotechsystems.se
MetroTech Innovations,micro,380943,Smart Infrastructure & Smart Cities,B2B,NZ,https://metrotechinnovations.nz
CitySphere Solutions,small,4482944,Smart Infrastructure & Smart Cities,B2B,DK,https://cityspheresolutions.com
SmartGrid Systems,micro,329788,Smart Infrastructure & Smart Cities,B2C,IE,https://smartgridsystems.com
SmartMachines Systems,small,1084601,Automation & Robotics,B2B,CH,https://smartmachinessystems.com
FutureBots Networks,medium,14909656,Automation & Robotics,B2C,LU,https://futurebotsnetworks.lu
IRobotics,large,245917696,Automation & Robotics,B2C,NL,https://irobotics.com
MechaSync Innovations,small,3499310,Automation & Robotics,B2C,DK,https://mechasyncinnovations.com
RoboSphere Tech,small,2161513,Automation & Robotics,B2C,FR,https://robospheretech.com
FutureBots Systems,micro,274843,Automation & Robotics,B2C,KR,https://futurebotssystems.com
RoboLink Systems,small,862423,Automation & Robotics,B2C,FI,https://robolinksystems.fi
AI-Mech Networks,micro,133460,Automation & Robotics,B2B,DE,https://ai-mechnetworks.com
RoboNext Edge,medium,17590217,Automation & Robotics,B2C,CN,https://robonextedge.com
SmartMachines Edge,micro,342536,Automation & Robotics,B2C,FR,https://smartmachinesedge.com
QubitEdge Solutions,small,4317548,Quantum Computing,B2B,CH,https://qubitedgesolutions.com
NextQubit Innovations,large,163222246,Quantum Computing,B2B,EE,https://nextqubitinnovations.com
QWave Ventures,medium,15721029,Quantum Computing,B2C,IL,https://qwaveventures.com
QuantumLogic Hub,micro,231004,Quantum Computing,B2C,CN,https://quantumlogichub.com
QuantumCore Dynamics,medium,20080281,Quantum Computing,B2C,CH,https://quantumcoredynamics.com
NextQubit Dynamics,large,364408502,Quantum Computing,B2B,CA,https://nextqubitdynamics.com
QubitTech Tech,medium,38203048,Quantum Computing,B2B,CA,https://qubittechtech.com
QuantumCore Systems,large,366367206,Quantum Computing,B2C,DE,https://quantumcoresystems.com
HyperQ Ventures,micro,498772,Quantum Computing,B2B,AU,https://hyperqventures.au
QuantumComputingNexus,large,321410593,Quantum Computing,B2B,FR,https://quantumcomputingnexus.com
Radiant 5G,medium,34451669,5G & Next-Gen Wireless Technology,B2B,HK,http://radiant5g.com
RapidLink,medium,39753264,5G & Next-Gen Wireless Technology,B2B,FR,https://rapidlink.com
AerialNet,micro,399786,5G & Next-Gen Wireless Technology,B2B,GB,https://aerialnet.com
EvoNext,large,244613234,5G & Next-Gen Wireless Technology,B2C,NL,https://evonext.com
SwiftConnect,micro,416121,5G & Next-Gen Wireless Technology,B2C,KR,https://swiftconnect.com
Connectera,medium,17088033,5G & Next-Gen Wireless Technology,B2C,AU,https://connectera.com
InfinitiWave,large,489032531,5G & Next-Gen Wireless Technology,B2B,GB,https://infinitiwave.com
TerraBeam,medium,9691818,5G & Next-Gen Wireless Technology,B2C,US,https://terrabeam.com
SpectraLink,large,343315252,5G & Next-Gen Wireless Technology,B2B,IL,https://spectralink.com
Skywire,small,4546588,5G & Next-Gen Wireless Technology,B2B,AT,https://skywire.com
AutoZen,small,2763574,Autonomous Vehicles & Mobility Technology,B2C,NL,https://autozen.com
Fluicity,large,78559753,Autonomous Vehicles & Mobility Technology,B2B,KR,https://fluicity.com
Robotaxi,small,2847889,Autonomous Vehicles & Mobility Technology,B2C,LU,https://robotaxi.com
Commutus,small,1596040,Autonomous Vehicles & Mobility Technology,B2C,SG,https://commutus.com
Vexel,large,100538368,Autonomous Vehicles & Mobility Technology,B2B,BE,https://vexel.com
BetterWay,medium,31256316,Autonomous Vehicles & Mobility Technology,B2B,NL,https://betterway.com
Zubigo,micro,179893,Autonomous Vehicles & Mobility Technology,B2C,CN,https://zubigo.com
RevolveDrive,small,3103327,Autonomous Vehicles & Mobility Technology,B2B,NO,https://revolvedrive.com
BlueMove,medium,18325444,Autonomous Vehicles & Mobility Technology,B2C,NL,https://bluemove.com
